Instance,Best,Worst,Median,Std,LB
0_BehnkeGeiger_42,80,88,85.0,2.79,80.0
0_BehnkeGeiger_46,126,143,134.5,5.36,110.0
0_BehnkeGeiger_60,737,763,751.0,8.3,491.0
1_Brandimarte_12,521,543,530.5,7.06,479.0
1_Brandimarte_14,698,714,708.5,5.38,640.0
1_Brandimarte_7,160,185,174.0,8.25,143.0
2a_Hurink_sdata_18,1189,1254,1219.5,20.09,1179.0
2a_Hurink_sdata_1,53,57,56.5,1.55,52.0
2a_Hurink_sdata_38,2256,2315,2277.0,19.66,2005.0
2a_Hurink_sdata_40,1618,1678,1642.5,21.19,1640.0
2a_Hurink_sdata_54,8048,9227,8602.0,387.43,7954.0
2a_Hurink_sdata_61,886,946,913.5,19.1,1468.0
2a_Hurink_sdata_63,391,409,397.0,6.73,605.0
2b_Hurink_edata_1,51,54,53.0,0.95,51.0
2b_Hurink_edata_6,545,601,561.5,16.72,601.0
2c_Hurink_rdata_28,1050,1085,1073.5,10.07,909.0
2c_Hurink_rdata_38,2154,2211,2191.0,20.19,1780.0
2c_Hurink_rdata_50,5820,6001,5894.5,53.9,5791.0
2d_Hurink_vdata_18,1104,1140,1117.0,10.24,1827.0
2d_Hurink_vdata_30,1485,1545,1518.5,16.21,1178.0
2d_Hurink_vdata_5,523,555,537.0,11.97,580.0
3_DPpaulli_15,3432,3518,3488.0,24.72,2328.0
3_DPpaulli_18,3430,3538,3463.5,32.4,2305.0
3_DPpaulli_1,3002,3104,3055.0,33.01,2728.0
3_DPpaulli_9,3080,3153,3129.5,23.69,2270.0
4_ChambersBarnes_10,1014,1053,1034.0,11.91,949.0
5_Kacem_3,9,13,10.5,1.16,7.0
5_Kacem_4,20,30,22.5,3.03,11.0
6_Fattahi_14,554,605,564.0,17.22,538.0
6_Fattahi_20,1245,1322,1304.0,22.76,1208.0
